School Name,School Type,Starting Median Salary,Mid Career Median Salary,StartFx,MidFX
Abilene Christian University,Private,40400,72800,96.18452%,99.59383%
Academy of Art University,"Private for-profit, Arts & Design",44800,76800,106.66006%,105.06602%
Adelphi University,Private Research Universities,48000,89100,114.27863%,121.89300%
Alabama A&M University (AAMU),State Schools,35300,58300,84.04241%,79.75715%
Alabama State University (ASU),State Schools,32200,54300,76.66192%,74.28496%
Albertus Magnus College,Liberal Arts,45200,64700,107.61238%,88.51265%
Albion College,Liberal Arts,36600,83600,87.13746%,114.36874%
Albright College,Liberal Arts,34200,63200,81.42353%,86.46058%
Alcorn State University,State Schools,32000,47900,76.18576%,65.52946%
Alfred University,Private,45800,79100,109.04086%,108.21253%
Allegheny College,Liberal Arts,38900,86900,92.61331%,118.88330%
Alma College,Liberal Arts,34600,67100,82.37585%,91.79596%
Alvernia University,Private,36000,61900,85.70897%,84.68212%
Alverno College,Private,44900,56100,106.89814%,76.74744%
American Intercontinental University (AIU),"Private for-profit, Private",38200,55200,90.94675%,75.51620%
American International College,Private,39000,58000,92.85139%,79.34673%
American Public University System,"Private for-profit, Private",45000,69800,107.13622%,95.48969%
"American University, Washington D.C.",Private Research Universities,43000,86600,102.37461%,118.47288%
Amherst College,Liberal Arts,51800,102000,123.32569%,139.54081%
Anderson University,Private,36500,56100,86.89938%,76.74744%
Andrews University,Private Research Universities,39800,62000,94.75603%,84.81892%
Angelo State University,State Schools,37400,66800,89.04210%,91.38555%
Appalachian State University,State Schools,35500,67300,84.51857%,92.06957%
Arcadia University,Private,40600,81600,96.66068%,111.63265%
Arizona State University (ASU),"State Schools, Party",44500,81600,105.94582%,111.63265%
Arkansas State University (ASU),State Schools,33900,60400,80.70928%,82.63005%
Arkansas Tech University,State Schools,40800,57700,97.13684%,78.93632%
Armstrong Atlantic State University (AASU),State Schools,41300,59800,98.32724%,81.80922%
Art Center College of Design,Arts & Design,48800,75600,116.18328%,103.42436%
Art Institute of Pittsburgh,"Private for-profit, Arts & Design",33800,51100,80.47120%,69.90721%
Asbury College,Liberal Arts,33900,47300,80.70928%,64.70863%
Ashford University,"Private for-profit, Private",33800,45600,80.47120%,62.38295%
Ashland University,Private,36700,63900,87.37554%,87.41821%
Assumption College,Private,45800,83900,109.04086%,114.77915%
Athens State University,State Schools,36100,60600,85.94706%,82.90366%
Auburn University,State Schools,44800,87400,106.66006%,119.56732%
Auburn University Montgomery (AUM),State Schools,37300,59100,88.80402%,80.85159%
Augsburg College,Private,41900,75400,99.75572%,103.15075%
Augusta State University,State Schools,36700,62600,87.37554%,85.63975%
"Augustana College, Illinois",Liberal Arts,41200,72400,98.08916%,99.04661%
"Augustana College, South Dakota",Private,41100,55200,97.85108%,75.51620%
Aurora University,Private,39900,70900,94.99411%,96.99454%
Austin College,Liberal Arts,37600,73500,89.51826%,100.55146%
Austin Peay State University,State Schools,38000,64600,90.47058%,88.37584%
Averett University,Private,33700,80300,80.23312%,109.85418%
Avila University,Private,42000,67200,99.99380%,91.93277%
Azusa Pacific University,Private Research Universities,39200,67100,93.32755%,91.79596%
Babson College,Private,57500,108000,136.89628%,147.74909%
Baker College,Private,35600,61300,84.75665%,83.86129%
Baker University,Liberal Arts,39800,61200,94.75603%,83.72448%
Baldwin-Wallace College,Private,39600,67900,94.27987%,92.89040%
Ball State University (BSU),State Schools,37100,67800,88.32786%,92.75360%
Barnard College - Columbia University,Liberal Arts,43800,75000,104.27925%,102.60353%
Barry University,Private Research Universities,45000,64900,107.13622%,88.78626%
Barton College,Private,35300,59900,84.04241%,81.94602%
Baruch College,State Schools,48900,83500,116.42136%,114.23194%
Bates College,Liberal Arts,45400,99800,108.08854%,136.53110%
Baylor University,Private Research Universities,45400,86200,108.08854%,117.92566%
Belhaven University,Private,34700,55400,82.61393%,75.78981%
Bellarmine University,State Schools,42200,72000,100.46996%,98.49939%
Bellevue University,Private,38400,66700,91.42291%,91.24874%
Belmont Abbey College,Private,40500,58500,96.42260%,80.03076%
Belmont University,Private,39500,64600,94.04179%,88.37584%
Beloit College,Liberal Arts,38500,74200,91.66099%,101.50910%
Bemidji State University (BSU),State Schools,36800,62600,87.61362%,85.63975%
Benedict College,Private,31400,50100,74.75727%,68.53916%
Benedictine University,Private,42000,66500,99.99380%,90.97513%
Bentley University,Private,50800,98500,120.94489%,134.75264%
Berea College,Liberal Arts,33200,52400,79.04272%,71.68567%
Berkeley College,"Private for-profit, Private",39300,64600,93.56563%,88.37584%
Berklee College of Music,Arts & Design,37300,66300,88.80402%,90.70152%
Berry College,Liberal Arts,36300,71300,86.42322%,97.54176%
"Bethel College, Indiana",Private,35700,59600,84.99473%,81.53561%
"Bethel University, Minnesota",Private,41600,73300,99.04148%,100.27785%
"Bethel University, Tennessee",Private,33400,47300,79.51888%,64.70863%
Bethune Cookman University,Private,34300,54500,81.66161%,74.55857%
Binghamton University,State Schools,49700,86000,118.32600%,117.65205%
Biola University,Private Research Universities,38700,73900,92.13715%,101.09868%
Birmingham Southern College,Liberal Arts,40900,62300,97.37492%,85.22934%
Black Hills State University,State Schools,32800,47000,78.09040%,64.29822%
Bloomfield College,Liberal Arts,40200,70100,95.70835%,95.90010%
Bloomsburg University of Pennsylvania,State Schools,39800,66800,94.75603%,91.38555%
Bluefield State College,State Schools,35300,61000,84.04241%,83.45087%
Bluffton University,Private,35000,53400,83.32817%,73.05372%
Bob Jones University,Private,38600,66300,91.89907%,90.70152%
Boise State University (BSU),State Schools,41000,66100,97.61300%,90.42792%
Boston College,Private Research Universities,49200,96800,117.13560%,132.42696%
Boston University,Private Research Universities,46900,88800,111.65975%,121.48259%
Bowdoin College,Liberal Arts,45300,103000,107.85046%,140.90885%
Bowie State University (BSU),State Schools,43900,68600,104.51733%,93.84803%
Bowling Green State University,State Schools,39200,71100,93.32755%,97.26815%
Bradley University,Private,44500,87900,105.94582%,120.25134%
Brandeis University,Private Research Universities,47100,77500,112.13591%,106.02365%
Brenau University,Private,36800,57000,87.61362%,77.97869%
Briar Cliff University,Private,38800,55300,92.37523%,75.65301%
Bridgewater College,Liberal Arts,35600,51900,84.75665%,71.00165%
Bridgewater State College,State Schools,38400,63800,91.42291%,87.28141%
Brigham Young University (BYU),Private Research Universities,48100,85900,114.51671%,117.51525%
Brooklyn College,State Schools,41500,74700,98.80340%,102.19312%
Brown University,"Private Research Universities, Ivy League",49400,109000,117.61176%,149.11714%
Bryant University,Private,49200,83500,117.13560%,114.23194%
Bryn Mawr College,Liberal Arts,41900,72900,99.75572%,99.73064%
Bucknell University,Liberal Arts,55800,115000,132.84891%,157.32542%
Buena Vista University,Private,35300,69400,84.04241%,94.94247%
Butler University,Private,41200,82000,98.08916%,112.17986%
Cabrini College,Private,40300,68800,95.94644%,94.12164%
Caldwell College,Private,40900,53500,97.37492%,73.19052%
California College of the Arts,Arts & Design,47400,100000,112.85015%,136.80471%
California Institute of Technology (Caltech),"Private Research Universities, Engineering",69900,120000,166.41826%,164.16566%
California Lutheran University (CLU),Private,48400,79200,115.23095%,108.34933%
"California Polytechnic State University, San Luis Obispo (CalPoly)",State Schools,55000,99200,130.94427%,135.71028%
"California State Polytechnic University, Pomona",State Schools,48500,93300,115.46904%,127.63880%
"California State University (CSU), Chico",State Schools,46900,83000,111.65975%,113.54791%
"California State University (CSU), Fresno (Fresno State)",State Schools,43500,80300,103.56501%,109.85418%
"California State University (CSU), Stanislaus",State Schools,40000,71900,95.23219%,98.36259%
"California State University, Bakersfield (CSUB)",State Schools,46000,64500,109.51702%,88.23904%
"California State University, Dominguez Hills (CSUDH)",State Schools,43400,71900,103.32693%,98.36259%
"California State University, East Bay (CSUEB)",State Schools,48800,79800,116.18328%,109.17016%
"California State University, Fullerton (CSUF)",State Schools,42500,81800,101.18421%,111.90626%
"California State University, Long Beach (CSULB)",State Schools,44400,82700,105.70774%,113.13750%
"California State University, Los Angeles (CSULA)",State Schools,44200,77300,105.23157%,105.75004%
"California State University, Northridge (CSUN)",State Schools,43200,81300,102.85077%,111.22223%
"California State University, Sacramento (CSUS)",State Schools,44600,84500,106.18390%,115.59998%
"California State University, San Bernardino (CSUSB)",State Schools,40900,66800,97.37492%,91.38555%
"California State University, San Marcos (CSUSM)",State Schools,42900,69800,102.13653%,95.48969%
California University of Pennsylvania (Cal U),State Schools,37400,62400,89.04210%,85.36614%
Calvin College,Liberal Arts,40500,73100,96.42260%,100.00425%
Cameron University,State Schools,32500,62400,77.37616%,85.36614%
Campbell University,Private,35200,58700,83.80433%,80.30437%
Canisius College,Private,37600,73300,89.51826%,100.27785%
Capella University,"Private for-profit, Private Research Universities",43400,70800,103.32693%,96.85774%
Capital University,Private,35600,67000,84.75665%,91.65916%
Cardinal Stritch University,Private,44600,65400,106.18390%,89.47028%
Carleton College,Liberal Arts,42300,105000,100.70805%,143.64495%
Carlow University,Private,43000,57500,102.37461%,78.66271%
Carnegie Mellon University (CMU),"Private Research Universities, Engineering",62400,108000,148.56222%,147.74909%
"Carroll College, Montana",Liberal Arts,38600,64000,91.89907%,87.55502%
"Carroll University, Wisconsin",Private,40300,60100,95.94644%,82.21963%
Carson Newman College,Liberal Arts,33200,55000,79.04272%,75.24259%
Carthage College,Private,37900,77300,90.23250%,105.75004%
Case Western Reserve University,"Private Research Universities, Engineering",54600,98600,129.99194%,134.88945%
Catholic University of America,Private Research Universities,45500,75900,108.32662%,103.83478%
Cedar Crest College,Liberal Arts,41800,56900,99.51764%,77.84188%
Cedarville University,Private,38900,54300,92.61331%,74.28496%
Centenary College,Private,41800,61000,99.51764%,83.45087%
Central College,Liberal Arts,38000,76300,90.47058%,104.38200%
Central Connecticut State University,State Schools,43400,77200,103.32693%,105.61324%
Central Michigan University,State Schools,37900,65500,90.23250%,89.60709%
Central State University,State Schools,34600,55700,82.37585%,76.20023%
Central Washington University (CWU),State Schools,42600,76600,101.42229%,104.79241%
Chaminade University,Private,37000,59900,88.08978%,81.94602%
Chapman University,Private,40900,78500,97.37492%,107.39170%
Charleston Southern University (CSU),Private,37100,64500,88.32786%,88.23904%
Charter Oak State College,State Schools,55600,78400,132.37275%,107.25489%
Chestnut Hill College,Private,34100,65000,81.18545%,88.92306%
Chicago State University (CSU),State Schools,39600,54200,94.27987%,74.14815%
Christian Brothers University,Private,43600,87500,103.80309%,119.70412%
Christopher Newport University,State Schools,39600,61500,94.27987%,84.13490%
City College of New York (CCNY),State Schools,48300,77900,114.99287%,106.57087%
Claremont McKenna College,Liberal Arts,58700,104000,139.75324%,142.27690%
Clarion University of Pennsylvania,State Schools,34800,65100,82.85201%,89.05987%
Clark Atlanta University (CAU),Private Research Universities,38700,59600,92.13715%,81.53561%
Clark University,Private Research Universities,40200,78700,95.70835%,107.66531%
Clarke College,Liberal Arts,37600,65500,89.51826%,89.60709%
Clarkson University,"Private Research Universities, Engineering",57200,99600,136.18204%,136.25749%
Clayton College & State University,State Schools,39800,56300,94.75603%,77.02105%
Clemson University,State Schools,47500,83800,113.08823%,114.64235%
