DOL Salary Data,,,,,,,,
:: Assumed Salaries shown in black font,,,,,,,,
":: No data for Actors, Dancers, Singers, Entertainers; too much variance to assume salaries",,,,10%,25%,50%,75%,90%
,,,," $28,264 "," $36,029 "," $47,101 "," $61,420 "," $77,561 "
,,,,,126%,128%,128%,122%
,OCCUPATION,Mean,Deviation,AnnSal(10%),AnnSal(25%),AnnSal(50%),AnnSal(75%),AnnSal(90%)
,[DEFAULT] All Occupations," $33,190 "," $28,043 "," $17,140 "," $21,940 "," $33,190 "," $52,920 "," $81,160 "
,Accountants and auditors," $60,340 "," $27,278 "," $37,690 "," $46,740 "," $60,340 "," $79,470 "," $104,450 "
,Actuaries," $87,210 "," $43,427 "," $51,950 "," $65,050 "," $87,210 "," $120,870 "," $158,240 "
,"Administrative law judges, adjudicators, and hearing officers"," $83,920 "," $41,893 "," $40,150 "," $56,550 "," $83,920 "," $114,730 "," $152,460 "
,Administrative services managers," $75,520 "," $34,692 "," $38,690 "," $53,820 "," $75,520 "," $100,560 "," $131,730 "
,"Adult literacy, remedial education, and GED teachers and instructors"," $45,920 "," $22,756 "," $26,510 "," $34,720 "," $45,920 "," $62,970 "," $83,120 "
,Advertising and promotions managers," $82,370 "," $40,755 "," $40,990 "," $56,000 "," $82,370 "," $121,970 "," $148,981 "
,Advertising sales agents," $43,360 "," $30,075 "," $22,610 "," $30,550 "," $43,360 "," $64,500 "," $94,100 "
,Aerospace engineering and operations technicians," $56,960 "," $19,524 "," $35,610 "," $46,280 "," $56,960 "," $69,780 "," $87,280 "
,Aerospace engineers," $94,780 "," $28,362 "," $59,500 "," $74,650 "," $94,780 "," $116,140 "," $137,730 "
,"Agents and business managers of artists, performers, and athletes"," $61,890 "," $40,179 "," $25,860 "," $38,480 "," $61,890 "," $105,870 "," $129,316 "
,Agricultural and food science technicians," $34,410 "," $13,150 "," $22,100 "," $27,340 "," $34,410 "," $43,630 "," $55,190 "
,Agricultural engineers," $69,560 "," $29,152 "," $42,980 "," $55,170 "," $69,560 "," $87,890 "," $116,240 "
,Agricultural equipment operators," $23,460 "," $8,516 "," $16,500 "," $18,690 "," $23,460 "," $30,030 "," $36,810 "
,Agricultural inspectors," $41,500 "," $12,503 "," $24,670 "," $31,470 "," $41,500 "," $49,560 "," $60,460 "
,"Agricultural sciences teachers, postsecondary"," $77,210 "," $31,889 "," $41,270 "," $56,100 "," $77,210 "," $101,530 "," $128,170 "
,"Agricultural workers, all other"," $25,610 "," $11,159 "," $16,700 "," $19,810 "," $25,610 "," $34,070 "," $43,570 "
,Air traffic controllers," $109,850 "," $33,983 "," $46,550 "," $69,570 "," $109,850 "," $142,430 "," $161,650 "
,Aircraft cargo handling supervisors," $42,490 "," $23,685 "," $27,610 "," $31,760 "," $42,490 "," $63,710 "," $81,690 "
,Aircraft mechanics and service technicians," $52,810 "," $12,975 "," $33,360 "," $43,270 "," $52,810 "," $61,720 "," $71,600 "
,"Aircraft structure, surfaces, rigging, and systems assemblers"," $45,470 "," $12,586 "," $26,070 "," $31,410 "," $45,470 "," $57,660 "," $64,220 "
,Airfield operations specialists," $41,800 "," $16,962 "," $21,700 "," $28,420 "," $41,800 "," $53,630 "," $68,840 "
,"Airline pilots, copilots, and flight engineers"," $106,240 "," $43,626 "," $56,620 "," $80,640 "," $106,240 "," $144,010 "," $175,902 "
,All other information and record clerks," $35,550 "," $10,506 "," $22,430 "," $27,850 "," $35,550 "," $43,870 "," $51,420 "
,"Ambulance drivers and attendants, except emergency medical technicians"," $22,180 "," $6,411 "," $15,990 "," $18,140 "," $22,180 "," $26,640 "," $31,820 "
,Amusement and recreation attendants," $18,120 "," $5,191 "," $15,160 "," $16,090 "," $18,120 "," $20,760 "," $25,910 "
,Anesthesiologists," $187,485 "," $66,933 "," $115,470 "," $146,054 "," $187,485 "," $239,170 "," $292,137 "
,Animal breeders," $29,680 "," $18,375 "," $18,020 "," $22,110 "," $29,680 "," $43,350 "," $60,390 "
,Animal control workers," $31,550 "," $12,369 "," $19,540 "," $25,180 "," $31,550 "," $40,720 "," $51,170 "
,Animal scientists," $56,960 "," $30,744 "," $31,730 "," $40,930 "," $56,960 "," $82,540 "," $107,680 "
,Animal trainers," $26,930 "," $15,207 "," $16,920 "," $19,710 "," $26,930 "," $37,540 "," $52,130 "
,Anthropologists and archeologists," $53,460 "," $21,610 "," $31,530 "," $39,030 "," $53,460 "," $71,450 "," $87,890 "
,"Anthropology and archeology teachers, postsecondary"," $69,520 "," $30,729 "," $41,270 "," $53,590 "," $69,520 "," $90,590 "," $119,070 "
,Appraisers and assessors of real estate," $47,840 "," $25,520 "," $25,700 "," $34,520 "," $47,840 "," $66,860 "," $89,890 "
,"Arbitrators, mediators, and conciliators"," $52,770 "," $34,088 "," $30,870 "," $39,250 "," $52,770 "," $77,840 "," $109,950 "
,"Architects, except landscape and naval"," $72,700 "," $31,102 "," $42,320 "," $54,910 "," $72,700 "," $93,620 "," $122,640 "
,Architectural and civil drafters," $45,600 "," $15,486 "," $29,050 "," $36,170 "," $45,600 "," $57,420 "," $69,610 "
,Architecture and engineering occupations," $68,790 "," $29,730 "," $37,380 "," $50,630 "," $68,790 "," $92,220 "," $116,590 "
,"Architecture teachers, postsecondary"," $73,550 "," $30,171 "," $39,670 "," $55,750 "," $73,550 "," $94,390 "," $121,720 "
,Archivists," $46,470 "," $20,039 "," $27,050 "," $35,180 "," $46,470 "," $61,180 "," $78,680 "
,"Area, ethnic, and cultural studies teachers, postsecondary"," $65,030 "," $36,521 "," $37,490 "," $49,390 "," $65,030 "," $91,080 "," $125,520 "
,Art directors," $78,580 "," $48,743 "," $41,670 "," $56,250 "," $78,580 "," $111,300 "," $160,060 "
,"Art, drama, and music teachers, postsecondary"," $60,400 "," $31,587 "," $32,700 "," $44,560 "," $60,400 "," $82,590 "," $112,340 "
,"Artists and related workers, all other"," $53,110 "," $25,712 "," $24,600 "," $33,960 "," $53,110 "," $77,980 "," $95,030 "
,"Arts, design, entertainment, sports, and media occupations"," $42,450 "," $28,913 "," $19,630 "," $28,480 "," $42,450 "," $63,570 "," $91,160 "
,"Assemblers and fabricators, all other"," $27,860 "," $18,608 "," $17,490 "," $20,940 "," $27,860 "," $39,250 "," $59,160 "
,Astronomers," $104,720 "," $31,906 "," $45,610 "," $65,710 "," $104,720 "," $138,640 "," $153,210 "
,Athletes and sports competitors," $40,210 "," $39,524 "," $16,020 "," $22,980 "," $40,210 "," $88,760 "," $108,417 "
,Athletic trainers," $41,340 "," $15,157 "," $25,510 "," $33,810 "," $41,340 "," $51,310 "," $65,140 "
,Atmospheric and space scientists," $84,710 "," $27,633 "," $40,560 "," $58,680 "," $84,710 "," $104,520 "," $127,250 "
,"Atmospheric, earth, marine, and space sciences teachers, postsecondary"," $78,660 "," $33,864 "," $43,350 "," $57,260 "," $78,660 "," $104,330 "," $133,080 "
,Audio and video equipment technicians," $39,100 "," $18,411 "," $21,840 "," $28,740 "," $39,100 "," $53,720 "," $69,020 "
,Audiologists," $63,230 "," $23,649 "," $40,650 "," $51,230 "," $63,230 "," $79,420 "," $100,480 "
,Audio-visual collections specialists," $43,880 "," $17,985 "," $25,310 "," $32,630 "," $43,880 "," $58,240 "," $72,590 "
,Automotive body and related repairers," $37,980 "," $16,199 "," $23,140 "," $29,620 "," $37,980 "," $50,020 "," $63,980 "
,Automotive glass installers and repairers," $33,090 "," $10,636 "," $20,980 "," $26,430 "," $33,090 "," $40,150 "," $49,420 "
,Automotive service technicians and mechanics," $35,420 "," $15,246 "," $19,840 "," $25,970 "," $35,420 "," $47,240 "," $59,920 "
,Avionics technicians," $50,570 "," $10,806 "," $34,640 "," $42,710 "," $50,570 "," $58,820 "," $65,620 "
,Baggage porters and bellhops," $20,060 "," $11,255 "," $15,560 "," $16,850 "," $20,060 "," $26,890 "," $38,700 "
,Bailiffs," $37,950 "," $17,441 "," $18,340 "," $26,740 "," $37,950 "," $53,730 "," $66,210 "
,Bakers," $23,630 "," $8,821 "," $16,600 "," $19,040 "," $23,630 "," $30,140 "," $37,520 "
,Barbers," $24,160 "," $11,356 "," $16,430 "," $19,530 "," $24,160 "," $31,480 "," $42,610 "
,Bartenders," $18,350 "," $8,106 "," $15,240 "," $16,140 "," $18,350 "," $23,060 "," $31,420 "
,Bicycle repairers," $23,470 "," $6,608 "," $17,040 "," $19,200 "," $23,470 "," $28,610 "," $33,350 "
,Bill and account collectors," $30,940 "," $10,067 "," $21,250 "," $25,440 "," $30,940 "," $37,910 "," $46,430 "
,Billing and posting clerks and machine operators," $31,720 "," $9,424 "," $22,020 "," $26,490 "," $31,720 "," $38,270 "," $45,970 "
,Bindery workers," $28,190 "," $11,051 "," $17,930 "," $21,800 "," $28,190 "," $36,660 "," $45,720 "
,Biochemists and biophysicists," $82,390 "," $35,156 "," $44,990 "," $59,950 "," $82,390 "," $108,010 "," $138,820 "
,"Biological science teachers, postsecondary"," $73,980 "," $48,271 "," $41,060 "," $53,190 "," $73,980 "," $105,080 "," $155,020 "
,"Biological scientists, all other"," $66,510 "," $22,064 "," $36,750 "," $50,420 "," $66,510 "," $81,650 "," $100,580 "
,Biological technicians," $38,700 "," $14,409 "," $24,540 "," $30,650 "," $38,700 "," $49,340 "," $61,380 "
,Biomedical engineers," $78,860 "," $28,369 "," $49,480 "," $60,980 "," $78,860 "," $100,890 "," $123,270 "
