MLB Salary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,,,,,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr
,,,,,,,,,,75008,1649,,,,,,,,,JUCO,,,,,,,,,Undergrad,,,,,,,,,,,,75008,1649,,,,,,,,,JUCO,,,,,,,,,Undergrad,,,,,,,,
,,,,,,,,,,Drafted,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,,,,Drafted,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL
,,,,,,,,50,1,1st,1,1,0,0,5,3,1,0,11,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,1,7,13,,50,1,1st,1,1,0,0,5,3,1,0,11,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,1,7,13
,,,,,,,,50,2,2nd,2,0,0,0,3,3,0,2,10,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,6,15,,50,2,2nd,2,0,0,0,3,3,0,2,10,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,6,15
,,,,,,,,50,3,3rd,1,1,0,1,2,1,1,3,10,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,6,15,,50,3,3rd,1,1,0,1,2,1,1,3,10,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,6,15
,,,,,,,,52,4,4th,0,0,0,1,1,1,2,2,7,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,2,10,18,,52,4,4th,0,0,0,1,1,1,2,2,7,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,2,10,18
,,,,,,,,50,5,5th,1,0,0,0,1,3,1,6,12,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,4,13,,50,5,5th,1,0,0,0,1,3,1,6,12,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,2,4,13
,,,,,,,,256,6,6th - 10th,2,3,0,4,10,12,10,16,57,0,0,0,0,0,1,0,1,2,2,5,3,2,6,10,14,27,69,,256,6,6th - 10th,2,3,0,4,10,12,10,16,57,0,0,0,0,0,1,0,1,2,2,5,3,2,6,10,14,27,69
,,,,,,,,256,7,11th - 15th,5,4,0,3,6,17,8,19,62,0,0,0,0,0,0,0,1,1,4,5,2,2,11,11,10,20,65,,256,7,11th - 15th,5,4,0,3,6,17,8,19,62,0,0,0,0,0,0,0,1,1,4,5,2,2,11,11,10,20,65
,,,,,,,,258,8,16th - 20th,4,2,0,5,11,15,12,17,66,0,0,0,0,0,0,0,1,1,2,7,2,1,2,5,13,30,62,,258,8,16th - 20th,4,2,0,5,11,15,12,17,66,0,0,0,0,0,0,0,1,1,2,7,2,1,2,5,13,30,62
,,,,,,,,508,9,End of 1st,8,4,2,7,18,26,7,44,116,1,1,0,1,0,1,1,4,9,12,6,1,6,11,17,17,59,129,,508,9,End of 1st,8,4,2,7,18,26,7,44,116,1,1,0,1,0,1,1,4,9,12,6,1,6,11,17,17,59,129
,,,,,,,,768,10,Beg of 2nd,19,8,2,9,31,35,28,59,191,0,1,0,0,0,0,3,9,13,13,4,7,9,12,26,35,74,180,,768,10,Beg of 2nd,19,8,2,9,31,35,28,59,191,0,1,0,0,0,0,3,9,13,13,4,7,9,12,26,35,74,180
,,,,,,,,766,11,End of 2nd,22,5,2,11,30,41,25,66,202,0,1,0,0,3,3,2,4,13,18,6,7,13,10,23,27,64,168,,766,11,End of 2nd,22,5,2,11,30,41,25,66,202,0,1,0,0,3,3,2,4,13,18,6,7,13,10,23,27,64,168
,,,,,,,,1536,12,3rd Round,37,19,6,24,61,70,42,107,366,4,3,0,3,3,7,5,17,42,32,17,8,18,32,63,45,145,360,,1536,12,3rd Round,37,19,6,24,61,70,42,107,366,4,3,0,3,3,7,5,17,42,32,17,8,18,32,63,45,145,360
,,,,,,,,1534,13,4th Round,29,11,1,17,41,67,49,126,341,2,0,1,3,3,3,6,22,40,34,13,10,16,33,62,60,158,386,,1534,13,4th Round,29,11,1,17,41,67,49,126,341,2,0,1,3,3,3,6,22,40,34,13,10,16,33,62,60,158,386
,,,,,,,,1532,14,5th Round,38,19,2,17,39,65,38,80,298,1,3,2,3,5,12,5,17,48,38,27,18,20,36,47,65,169,420,,1532,14,5th Round,38,19,2,17,39,65,38,80,298,1,3,2,3,5,12,5,17,48,38,27,18,20,36,47,65,169,420
,,,,,,,,1544,15,6th Round,28,9,3,7,33,74,29,98,281,4,1,1,2,2,12,13,20,55,40,15,20,23,33,78,66,161,436,,1544,15,6th Round,28,9,3,7,33,74,29,98,281,4,1,1,2,2,12,13,20,55,40,15,20,23,33,78,66,161,436
,,,,,,,,1530,16,7th Round,22,8,2,17,34,61,34,97,275,0,1,1,2,2,13,11,34,64,33,22,22,27,36,70,57,159,426,,1530,16,7th Round,22,8,2,17,34,61,34,97,275,0,1,1,2,2,13,11,34,64,33,22,22,27,36,70,57,159,426
,,,,,,,,1534,17,8th Round,29,9,3,9,29,45,44,94,262,7,1,3,6,2,7,17,32,75,42,18,15,29,38,78,80,130,430,,1534,17,8th Round,29,9,3,9,29,45,44,94,262,7,1,3,6,2,7,17,32,75,42,18,15,29,38,78,80,130,430
,,,,,,,,1542,18,9th Round,25,15,4,9,25,50,31,71,230,7,4,4,4,13,13,18,40,103,43,21,21,26,31,68,68,160,438,,1542,18,9th Round,25,15,4,9,25,50,31,71,230,7,4,4,4,13,13,18,40,103,43,21,21,26,31,68,68,160,438
,,,,,,,,1540,19,10th Round,32,11,3,10,30,55,32,85,258,3,3,5,4,9,16,10,38,88,29,25,28,29,36,79,57,141,424,,1540,19,10th Round,32,11,3,10,30,55,32,85,258,3,3,5,4,9,16,10,38,88,29,25,28,29,36,79,57,141,424
,,,,,,,,7698,20,11th - 15th Round,104,45,10,50,104,241,144,389,1087,34,21,22,20,42,85,73,222,519,176,130,120,118,188,387,341,783,2243,,7698,20,11th - 15th Round,104,45,10,50,104,241,144,389,1087,34,21,22,20,42,85,73,222,519,176,130,120,118,188,387,341,783,2243
,,,,,,,,7662,21,16th - 20th Round,113,50,14,51,127,202,146,363,1066,55,24,13,25,30,104,90,229,570,228,133,105,102,188,347,328,764,2195,,7662,21,16th - 20th Round,113,50,14,51,127,202,146,363,1066,55,24,13,25,30,104,90,229,570,228,133,105,102,188,347,328,764,2195
,,,,,,,,7652,22,21st - 25th Round,113,59,17,51,120,214,143,370,1087,53,28,15,23,44,91,116,254,624,224,119,139,88,167,362,291,725,2115,,7652,22,21st - 25th Round,113,59,17,51,120,214,143,370,1087,53,28,15,23,44,91,116,254,624,224,119,139,88,167,362,291,725,2115
,,,,,,,,7520,23,26th - 30th Round,130,69,33,54,116,230,199,448,1279,63,31,28,30,56,127,123,309,767,162,101,81,76,145,296,236,617,1714,,7520,23,26th - 30th Round,130,69,33,54,116,230,199,448,1279,63,31,28,30,56,127,123,309,767,162,101,81,76,145,296,236,617,1714
,,,,,,,,7046,24,31st - 35th Round,160,73,22,64,138,249,204,472,1382,58,34,21,30,41,133,133,320,770,131,64,94,88,87,227,174,506,1371,,7046,24,31st - 35th Round,160,73,22,64,138,249,204,472,1382,58,34,21,30,41,133,133,320,770,131,64,94,88,87,227,174,506,1371
,,,,,,,,7070,25,36th - 40th Round,191,69,43,59,183,303,206,587,1641,80,35,21,34,64,167,140,342,883,109,59,47,39,70,165,142,380,1011,,7070,25,36th - 40th Round,191,69,43,59,183,303,206,587,1641,80,35,21,34,64,167,140,342,883,109,59,47,39,70,165,142,380,1011
,,,,,,,,15004,26,41st Round +,533,197,112,210,407,806,461,1271,3997,191,104,70,92,144,361,243,765,1970,171,99,79,80,94,298,196,518,1535,,15004,26,41st Round +,533,197,112,210,407,806,461,1271,3997,191,104,70,92,144,361,243,765,1970,171,99,79,80,94,298,196,518,1535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,YEAR = ,0,High School,,,,,,,,,JUCO,,,,,,,,,Undergrad,,,,,,,,,,0,YEAR = ,0,High School,,,,,,,,,JUCO,,,,,,,,,Undergrad,,,,,,,,
,,,,,,,,0,,MLB $ Percentile,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,,0,,MLB $ Percentile,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL
,,,,,,,,0,1,1st,  $-    ," $1,666,667 ",  $-    ,  $-    ," $200,000 "," $1,522,222 ",  $-    ,  $-    ," $657,576 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $362,381 "," $195,128 ",,0,1,1st," $361,404 "," $2,353,098 "," $2,366,667 "," $1,741,667 "," $1,133,333 "," $3,733,333 "," $1,528,571 "," $1,833,333 "," $772,123 "," $677,083 ", $-   ," $1,731,616 "," $57,143 "," $298,291 "," $298,077 "," $390,909 "," $729,167 "," $733,333 "," $407,407 "," $1,100,000 "," $10,833,333 "," $1,511,111 "," $3,138,889 "," $590,196 "," $390,476 "," $2,575,397 "," $1,332,381 "
,,,,,,,,0,2,2nd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $200,000 "," $40,000 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $10,833,333 "," $1,250,000 ",  $-    ,  $-    ,  $-    ,  $-    ," $833,333 ",,0,2,2nd," $300,000 "," $2,283,333 "," $113,833 "," $1,183,174 "," $620,251 "," $1,522,222 "," $509,722 "," $453,472 "," $657,576 "," $112,994 ", $-   ," $1,200,000 ", $-   ," $48,173 "," $183,333 "," $366,667 "," $488,889 "," $208,333 "," $153,125 "," $486,111 "," $488,889 "," $1,416,667 "," $143,519 "," $198,551 "," $299,145 "," $362,381 "," $833,333 "
,,,,,,,,0,3,3rd,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $3,733,333 ",  $-    ,  $-    ," $339,394 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,511,111 ",  $-    ,  $-    ,  $-    ," $2,575,397 "," $1,332,381 ",,0,3,3rd," $219,048 "," $1,960,317 "," $21,053 "," $685,185 "," $365,556 "," $611,111 "," $289,655 "," $243,831 "," $628,609 "," $29,144 ", $-   ," $149,402 ", $-   , $-   ," $65,844 "," $275,926 "," $225,490 "," $152,132 "," $91,228 "," $466,667 "," $275,309 "," $1,250,000 "," $140,000 "," $173,077 "," $272,817 "," $211,808 "," $446,860 "
,,,,,,,,0,4,4th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,833,333 "," $523,810 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,416,667 ",  $-    ,  $-    ,  $-    ,  $-    ," $157,407 ",,0,4,4th," $189,189 "," $1,666,667 ", $-   ," $431,373 "," $291,894 "," $509,804 "," $271,958 "," $235,417 "," $523,810 ", $-   , $-   ," $57,333 ", $-   , $-   ," $5,990 "," $147,059 "," $35,566 "," $129,962 "," $20,183 "," $333,333 "," $123,015 "," $800,000 "," $139,591 "," $163,636 "," $140,000 "," $186,979 "," $223,216 "
,,,,,,,,0,5,5th,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $800,000 ",  $-    ,  $-    ,  $-    ,  $-    ," $123,077 ",,0,5,5th," $58,662 "," $1,616,667 ", $-   ," $196,078 "," $275,641 "," $144,444 "," $249,778 "," $219,315 "," $507,710 ", $-   , $-   , $-   , $-   , $-   , $-   ," $55,060 "," $32,328 "," $118,182 "," $11,765 "," $135,802 "," $88,275 "," $310,559 "," $122,396 "," $144,048 "," $106,838 "," $173,612 "," $195,128 "
,,,,,,,,0,6,6th - 10th,  $-    ," $2,353,098 ",  $-    ," $1,741,667 "," $1,133,333 "," $611,111 ",  $-    ," $235,417 "," $628,609 ",  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ," $1,100,000 ",  $-    ,  $-    ," $3,138,889 "," $103,333 "," $390,476 ",  $-    ," $446,860 ",,0,6,6th - 10th," $52,083 "," $386,364 ", $-   ," $62,745 "," $270,588 "," $143,104 "," $244,444 "," $200,000 "," $339,394 ", $-   , $-   , $-   , $-   , $-   , $-   ," $48,333 "," $28,431 "," $101,248 "," $9,273 "," $78,992 "," $14,286 "," $298,851 "," $109,428 "," $117,190 "," $93,103 "," $62,307 "," $177,934 "
