,HS,HS,HS,HS,HS,HS,HS,HS,HS,JC,JC,JC,JC,JC,JC,JC,JC,JC,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr,4Yr
,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL,C,1B-DH,2B,3B,SS,OF,LHP,RHP,ALL
1,100.00000%,100.00000%,0.00000%,0.00000%,60.00000%,66.66667%,0.00000%,0.00000%,63.63636%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,100.00000%,100.00000%,100.00000%,71.42857%,84.61538%
2,100.00000%,0.00000%,0.00000%,0.00000%,33.33333%,66.66667%,0.00000%,50.00000%,60.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,100.00000%,100.00000%,0.00000%,50.00000%,100.00000%,66.66667%,75.00000%
3,100.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,100.00000%,33.33333%,36.36364%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,0.00000%,100.00000%,50.00000%,50.00000%,53.33333%
4,0.00000%,0.00000%,0.00000%,100.00000%,0.00000%,0.00000%,50.00000%,100.00000%,57.14286%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,100.00000%,0.00000%,0.00000%,0.00000%,50.00000%,50.00000%,100.00000%,50.00000%,70.00000%,61.11111%
5,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,33.33333%,100.00000%,33.33333%,33.33333%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,0.00000%,0.00000%,100.00000%,0.00000%,33.33333%,0.00000%,50.00000%,53.84615%
6,50.00000%,33.33333%,0.00000%,75.00000%,50.00000%,50.00000%,30.00000%,18.75000%,37.93103%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,100.00000%,0.00000%,100.00000%,100.00000%,50.00000%,80.00000%,66.66667%,100.00000%,50.00000%,60.00000%,50.00000%,22.22222%,44.28571%
7,60.00000%,100.00000%,0.00000%,66.66667%,33.33333%,35.29412%,37.50000%,26.31579%,39.68254%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,75.00000%,20.00000%,50.00000%,50.00000%,63.63636%,45.45455%,80.00000%,40.00000%,52.30769%
8,50.00000%,100.00000%,0.00000%,20.00000%,45.45455%,26.66667%,41.66667%,23.52941%,34.84848%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,71.42857%,50.00000%,0.00000%,50.00000%,40.00000%,23.07692%,43.33333%,39.68254%
9,50.00000%,25.00000%,50.00000%,14.28571%,16.66667%,19.23077%,14.28571%,34.09091%,25.83333%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,58.33333%,16.66667%,100.00000%,50.00000%,63.63636%,52.94118%,58.82353%,33.89831%,44.27481%
