Slotted Bonuses,,,,,
Pick,Amount,DraftCell,,MaxBonus,DraftCell
1," $4,000,000 ",1,," $4,000,000 ",1
2," $3,250,000 ",2,," $3,250,000 ",2
3," $3,000,000 ",3,," $3,000,000 ",3
4," $2,750,000 ",4,," $2,750,000 ",4
5," $2,520,000 ",5,," $2,520,000 ",5
6," $2,340,000 ",6,," $2,340,000 ",6
7," $2,178,000 ",,," $1,791,000 ",7
8," $2,043,000 ",,," $1,512,000 ",8
9," $1,962,000 ",,," $1,332,000 ",9
10," $1,863,000 ",,," $972,000 ",10
11," $1,791,000 ",7,," $751,500 ",11
12," $1,719,000 ",,," $596,700 ",12
13," $1,656,000 ",,," $380,700 ",13
14," $1,602,000 ",,," $243,000 ",14
15," $1,557,000 ",,," $168,300 ",15
16," $1,512,000 ",8,,,
17," $1,467,000 ",,,,
18," $1,422,000 ",,,,
19," $1,386,000 ",,,,
20," $1,359,000 ",,,,
21," $1,332,000 ",9,,,
22," $1,287,000 ",,,,
23," $1,260,000 ",,,,
24," $1,242,000 ",,,,
25," $1,215,000 ",,,,
26," $1,197,000 ",,,,
27," $1,161,000 ",,,,
28," $1,134,000 ",,,,
29," $1,116,000 ",,,,
30," $1,089,000 ",,,,
31," $972,000 ",10,,,
32," $954,000 ",,,,
33," $936,000 ",,,,
34," $918,000 ",,,,
35," $900,000 ",,,,
36," $889,200 ",,,,
37," $873,000 ",,,,
38," $858,600 ",,,,
39," $844,200 ",,,,
40," $829,800 ",,,,
41," $815,400 ",,,,
42," $802,800 ",,,,
43," $789,300 ",,,,
44," $776,700 ",,,,
45," $764,100 ",,,,
46," $751,500 ",11,,,
47," $739,800 ",,,,
48," $728,100 ",,,,
49," $717,300 ",,,,
50," $705,600 ",,,,
51," $694,800 ",,,,
52," $684,000 ",,,,
53," $674,100 ",,,,
54," $663,300 ",,,,
55," $653,400 ",,,,
56," $643,500 ",,,,
57," $634,500 ",,,,
58," $624,600 ",,,,
59," $614,700 ",,,,
60," $605,700 ",,,,
61," $596,700 ",12,,,
62," $587,700 ",,,,
63," $579,600 ",,,,
64," $570,600 ",,,,
65," $562,500 ",,,,
66," $555,000 ",,,,
67," $545,400 ",,,,
68," $537,300 ",,,,
69," $530,100 ",,,,
70," $522,000 ",,,,
71," $514,800 ",,,,
72," $506,700 ",,,,
73," $499,500 ",,,,
74," $492,300 ",,,,
75," $485,100 ",,,,
76," $477,900 ",,,,
77," $470,700 ",,,,
78," $463,500 ",,,,
79," $457,200 ",,,,
80," $450,000 ",,,,
81," $443,700 ",,,,
82," $436,500 ",,,,
83," $430,200 ",,,,
84," $423,900 ",,,,
85," $417,600 ",,,,
86," $411,300 ",,,,
87," $405,000 ",,,,
88," $398,700 ",,,,
89," $392,400 ",,,,
90," $387,000 ",,,,
91," $380,700 ",13,,,
92," $375,300 ",,,,
93," $369,000 ",,,,
94," $363,600 ",,,,
95," $358,200 ",,,,
96," $351,900 ",,,,
97," $346,500 ",,,,
98," $341,100 ",,,,
99," $335,700 ",,,,
100," $330,300 ",,,,
101," $324,900 ",,,,
102," $319,500 ",,,,
103," $315,000 ",,,,
104," $309,600 ",,,,
105," $304,200 ",,,,
106," $299,700 ",,,,
107," $295,000 ",,,,
108," $289,800 ",,,,
109," $284,400 ",,,,
110," $279,900 ",,,,
111," $274,500 ",,,,
112," $270,000 ",,,,
113," $267,300 ",,,,
114," $263,700 ",,,,
115," $261,000 ",,,,
116," $258,300 ",,,,
117," $254,700 ",,,,
118," $252,000 ",,,,
119," $250,000 ",,,,
120," $245,700 ",,,,
121," $243,000 ",14,,,
122," $240,300 ",,,,
123," $236,700 ",,,,
124," $234,000 ",,,,
125," $231,300 ",,,,
126," $227,700 ",,,,
127," $225,000 ",,,,
128," $222,300 ",,,,
129," $218,700 ",,,,
130," $216,000 ",,,,
131," $213,300 ",,,,
132," $209,700 ",,,,
133," $207,000 ",,,,
134," $204,300 ",,,,
135," $200,700 ",,,,
136," $198,000 ",,,,
137," $195,300 ",,,,
138," $191,700 ",,,,
139," $189,000 ",,,,
140," $186,300 ",,,,
141," $182,700 ",,,,
142," $180,000 ",,,,
143," $179,100 ",,,,
144," $177,300 ",,,,
145," $176,400 ",,,,
146," $174,600 ",,,,
147," $173,700 ",,,,
148," $171,900 ",,,,
149," $171,000 ",,,,
150," $169,200 ",,,,
151," $168,300 ",15,,,
152," $166,500 ",,,,
153," $165,600 ",,,,
154," $163,800 ",,,,
155," $162,900 ",,,,
156," $161,100 ",,,,
157," $160,200 ",,,,
158," $158,400 ",,,,
159," $157,500 ",,,,
160," $155,700 ",,,,
161," $154,800 ",,,,
162," $153,000 ",,,,
163," $152,100 ",,,,
164," $150,300 ",,,,
165," $149,400 ",,,,
166," $147,600 ",,,,
167," $146,700 ",,,,
168," $144,900 ",,,,
169," $144,000 ",,,,
170," $142,200 ",,,,
171," $141,300 ",,,,
172," $139,500 ",,,,
173," $138,600 ",,,,
174," $136,800 ",,,,
175," $135,900 ",,,,
